"ref_area.label","source.label","indicator.label","sex.label","classif1.label","time","obs_value","obs_status.label","note_classif.label","note_indicator.label","note_source.label"
"China","OE - Official Estimates","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2016",46.1,,,"Working time arrangement coverage: Full-time workers","Data reference period: September | Geographical coverage: Urban areas only"
"Côte d'Ivoire","LFS - National Survey on the Employment Situation","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2019",42.61,,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HS - Core Welfare Indicators Questionnaire","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2016",33.54,,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Cook Islands","LFS - Labour Force Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2023",34.45,,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing"
"Colombia","LFS - Integrated Household Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2025",42.77,,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing"
"Comoros","LFS - National Survey on Employment and the Informal Sector","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2021",37.75,,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing"
"Costa Rica","LFS - Continuous Employment Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2025",42.88,,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing"
"Cuba","LFS - National Employment Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2010",41,,,"Job coverage: Main job currently held",
"Curaçao","LFS - Labour Force Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2018",36.6,,,"Employment definition: Including subsistence workers | Central tendency measure: Weighted mean","Data reference period: Fourth quarter"
"Cayman Islands","LFS - Labour Force Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2015",42,,,,"Data reference period: October"
"Cyprus","LFS - Labour Force Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2025",37.67,,,"Job coverage: Main and second job currently held","Repository: Eurostat special tabulation"
"Czechia","LFS - Labour Force Sample Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2025",37.44,,,"Job coverage: Main and second job currently held","Repository: Eurostat special tabulation"
"Germany","LFS - EU Labour Force Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2025",33.53,,,"Job coverage: Main and second job currently held","Repository: Eurostat special tabulation"
"Djibouti","LFS - Survey on Labour Statistics","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2025",44.52,,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing"
"Denmark","LFS - EU Labour Force Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2025",33.16,,,"Job coverage: Main and second job currently held","Repository: Eurostat special tabulation"
