"ref_area.label","source.label","indicator.label","sex.label","classif1.label","time","obs_value","obs_status.label","note_classif.label","note_indicator.label","note_source.label"
"Norway","LFS - EU Labour Force Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2025",33.44,,,"Job coverage: Main and second job currently held","Repository: Eurostat special tabulation"
"Nepal","LFS - Labour Force Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2017",41.04,"Break in series",,"Job coverage: Main job currently held | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Naoero","HIES - Household Income and Expenditure Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2024",34.44,,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing"
"New Zealand","LFS - Household Labour Force Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2020",33,,,"Employment definition: Including subsistence workers | Job coverage: Main job currently held","Geographical coverage: Total national, excluding overseas territories | Population coverage: Excluding institutional population"
"Pakistan","LFS - Labour Force Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2025",46.77,,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing | Data reference period: Noncalendar year"
"Panama","LFS - Labour Market Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2025",36.36,,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing | Data reference period: October"
"Peru","LFS - Permanent Employment Survey, National","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2025",39.67,,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing"
"Philippines","LFS - Labour Force Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2023",39.99,,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing"
"Palau","PC - Population Census","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2020",39.92,,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing"
"Poland","LFS - EU Labour Force Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2025",38.93,,,"Job coverage: Main and second job currently held","Repository: Eurostat special tabulation"
"Puerto Rico","PC - Population Census","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2020",35.79,,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing"
"Portugal","LFS - EU Labour Force Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2025",37.68,,,"Job coverage: Main and second job currently held","Repository: Eurostat special tabulation"
"Paraguay","HS - Continuous Permanent Household Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2025",41.77,,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing"
"Palestine, State of","LFS - Labour Force Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2025",41.9,,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Excluding Gaza Strip"
"Qatar","LFS - Labor Force Sample Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2020",48,,,"Employment definition: Excluding own-use production workers",
"Réunion","LFS - Labour Force Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2012",33.02,,,,"Data reference period: Second quarter | Population coverage: Excluding both institutional population and armed forces and/or conscripts"
"Romania","LFS - Household Labour Force Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2025",38.25,,,"Job coverage: Main and second job currently held","Repository: Eurostat special tabulation"
"Russian Federation","LFS - Labour Force Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2025",38.99,,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing"
"Rwanda","LFS - Labour Force Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2025",29.2,,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing"
"Sudan","LFS - Labor Market Panel Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2022",50.72,"Break in series",,"Job coverage: Main job currently held | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Senegal","LFS - National Employment Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2024",48.31,,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing"
"Singapore","LFS - Labour Force Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2020",42.6,,,,
"Solomon Islands","HIES - Household Income and Expenditure Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2013",34.6,,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing"
"Sierra Leone","HS - Integrated Household Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2018",41.15,,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing"
"El Salvador","HS - Multi-purpose Household Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2025",42.4,,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing"
"Somalia","HIES - Integrated Household Budget Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2022",33.94,,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing"
"Serbia","LFS - Labour Force Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2025",40.37,,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing"
"Slovakia","LFS - Labour Force Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2025",37.59,,,"Job coverage: Main and second job currently held","Repository: Eurostat special tabulation"
"Slovenia","LFS - Labour Force Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2025",38.3,,,"Job coverage: Main and second job currently held","Repository: Eurostat special tabulation"
"Sweden","LFS - EU Labour Force Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2025",34.78,,,"Job coverage: Main and second job currently held","Repository: Eurostat special tabulation"
"Eswatini","LFS - Labour Force Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2023",42.74,,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing"
"Seychelles","LFS - Labour Force Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2025",40.65,,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing"
"Thailand","LFS - Labour Force Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2025",42.41,,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing"
"Tajikistan","LFS - Labour Force Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2016",40.29,,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Timor-Leste","LFS - Labour Force Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2021",34.93,,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing"
"Tonga","LFS - Labour Force Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2023",31.8,,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing"
"Tunisia","HIES - National Survey on Household Budget and Consumption","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2021",43.26,,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing"
"Türkiye","LFS - Household Labour Force Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2025",42.06,,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing"
"Tuvalu","PC - Population Census","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2022",36.83,,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing"
"Tanzania, United Republic of","LFS - Labour Force Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2024",40.72,"Break in series",,"Job coverage: Main job currently held | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Uganda","LFS - National Labour Force Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2021",44.44,,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing"
"Ukraine","LFS - Labour Force Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2020",39,,,"Employment definition: Excluding own-use production workers | Central tendency measure: Weighted mean | Job coverage: Main job currently held","Geographical coverage: Total national, excluding some areas"
"Uruguay","LFS - Continous Household Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2025",36.11,,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing"
"United States of America","LFS - Current Population Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2025",37.54,"Break in series",,"Job coverage: Main job currently held | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing | Repository: Annual estimates for 2025 are 11-month averages that exclude October. Data for October 2025 were not collected due to the federal government shutdown | Age coverage - minimum age: 16 years old"
"Venezuela, Bolivarian Republic of","LFS - Household Sample Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2017",38.65,,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing"
"Viet Nam","LFS - Labour Force Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2024",41.85,,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing"
"Vanuatu","LFS - Labour Force Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2025",24.37,,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing"
"Wallis and Futuna","HIES - Household Income and Expenditure Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2019",31.8,,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing"
"Samoa","LFS - Labour Force Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2022",39.8,"Break in series",,"Job coverage: Main job currently held | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Yemen","LFS - Labour Force Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2014",41.5,"Break in series",,"Job coverage: Main job currently held | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"South Africa","LFS - Quarterly Labour Force Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2024",42.39,,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing"
"Zambia","LFS - Labour Force Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2024",42.91,,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing"
"Zimbabwe","LFS - Labour Force Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2024",46.16,,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing"
